n,n_2,Mass,Length,Energy
82,6724,4.408112300010321e-27,4.541341777925243e-10,4.950110557015244e-21
90,8100,8.831659805575704e-30,5.671193526180508e-09,1.73889482257692e-20
20,400,6.8984115538229425e-28,4.776738212641745e-09,6.97332788068467e-23
81,6561,5.346240615578529e-27,7.519782231895102e-09,1.470442552394443e-23
79,6241,2.596695272604929e-27,9.654847852363491e-09,1.791172064797672e-23
33,1089,4.3543370357993785e-27,1.897176303906966e-09,1.1555761960867755e-22
48,2304,6.292161596445355e-30,8.287623438805245e-09,6.095416994120128e-21
79,6241,1.5394491132362918e-30,5.0063931410519e-09,1.1236574194591918e-19
63,3969,3.352991802278032e-27,2.120567334630386e-09,2.293115845157032e-22
3,9,3.0458654579993577e-30,5.511560989895696e-09,1.779440109788566e-21
44,1936,2.0259841006903613e-29,9.797588894205645e-10,1.2416531379325196e-19
60,3600,2.211787457204041e-28,4.2081247867681844e-09,8.4072257991996785e-22
29,841,4.442149240087296e-28,9.943043184241556e-10,3.624000703715527e-21
38,1444,1.831057917997456e-27,5.547895431745537e-09,3.700386205450405e-23
12,144,1.379992572037206e-27,1.8037094285018757e-09,1.4668760513682818e-22
49,2401,9.707183456886183e-28,8.555563858088913e-09,3.784666709321412e-23
80,6400,1.8850096425274322e-28,3.8777007803202456e-09,1.5489945674970887e-21
59,3481,8.054759128079487e-29,4.032308758793618e-09,2.4723728596575148e-21
33,1089,4.26519294668792e-28,2.9384150644392527e-09,4.917802073210469e-22
77,5929,1.0748732955088402e-27,2.289580677795041e-09,7.499695334592768e-22
15,225,1.7710944730305313e-27,9.629272253083145e-09,5.012849561235195e-24
38,1444,2.4229911782623383e-30,5.117384003171771e-09,3.2866830202221e-20
41,1681,5.2786433320290345e-28,3.1089803156093455e-09,4.410092161545659e-22
74,5476,1.1030969019561771e-30,3.720660142427337e-10,2.659500785268073e-17
53,2809,2.8586388325422972e-30,1.2595195583622522e-10,6.413998010550319e-17
27,729,1.2187571952089896e-28,5.4570112545958435e-09,4.082807880940007e-22
98,9604,1.9476818800272177e-27,1.3483633591663512e-09,1.5188547333743237e-21
63,3969,1.3838673214301617e-30,6.045279346400726e-09,6.83652520534193e-20
25,625,8.971487851035692e-30,6.9503813358879085e-09,3.1657771576734658e-21
64,4096,1.2811121513744034e-27,5.804736146531039e-09,8.136730427120236e-23
75,5625,4.5139898889204955e-28,1.7425361274979281e-09,3.003026546802656e-21
20,400,1.884262056092936e-28,3.4861278324549437e-09,4.793184524946912e-22
28,784,7.382724279789415e-30,6.276763751552735e-09,5.2831371911388134e-21
